,Unnamed: 0,Unnamed: 0.1,asin,date,model,product,review,score,user,CS_SS,feature
23,106,106,B01MS16V42,"November 1, 2018",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)","And even then, a quick review of the camera's focuss or the videos may be necessary if all of the camera's potential is to be used.,While some camera fanatics may complain about the camera's sensor size or some indistinguishable lens aberration due to the camera's long lens, let's face it, most of us will never have our photos printed as wallpaper murals.",5,JerryInLodi,CS,"lens,focus"
24,108,108,B01MS16V42,"March 11, 2017",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)","Still the lens is very flexible and gives you a terrific choice of FOV for everyday subjects.,The aperture is only five point something at full optical--not the greatest--and the tiny sensor yields a softer focus across the board that you might expect--softer and noisier, IMHO, than some cellphone and pocket cameras of comparable size.",4,Lafcadio Bumpus,CS,"lens,optical,focus"
25,125,125,B011PKJI2Y?pageNumber=2,"November 28, 2018",PANASONIC-Features-Megapixel-2-3-inch-Dustproof,"PANASONIC LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, Leica DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA",I was thinking about buying a longer lens for my Olympus when I saw the Panasonic Lumix FZ300 had a 600mm optical lens and cost less than the single lens that I wanted to purchase.,5,E. Mencer,CS,"lens,optical"
26,132,132,B019UDHT6U?pageNumber=5,"September 19, 2018",Canon-PowerShot-Digital-Camera-Stabilization,Canon PowerShot ELPH 180 Digital Camera w/Image Stabilization and Smart AUTO Mode (Red),"Besides the falsity of the description, the lack of effective stabilization makes even worse the slow f3.2 lens at widest opening.",1,Wit Held By Request,CS,lens
27,144,144,B01MS16V42?pageNumber=2,"December 30, 2018",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)",I would suggest getting a camera with a better lens than F2.8-5.9... and a system that can deal with low flashing better.,3,Jim Zuch,CS,"lens,flash"
28,146,146,B00KW5OKU4?pageNumber=4,"June 13, 2019",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)",It had lots of features but the Leica lens was it's crowning jewel..the best in the business.,1,Jaci  Muzamel,CS,lens
29,148,148,B011PKJI2Y?pageNumber=3,"July 24, 2019",PANASONIC-Features-Megapixel-2-3-inch-Dustproof,"PANASONIC LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, Leica DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA","I did.,Image stabilization,Cons:,12MP is small for 2019, but about max for this sensor size,24mm isn't very lens,Small sensor (typical with most bridge cameras at this price),High ISO performance is weak (typical for sensor size),Battery and memory card slot on the bottom interferes with tripod quick release (there is a solution),Overall:,Fantastic performer for the price.",5,Richard Brungard,CS,"lens,memory"
30,154,154,B011PKJI2Y?pageNumber=3,"September 22, 2017",PANASONIC-Features-Megapixel-2-3-inch-Dustproof,"PANASONIC LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, Leica DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA","Overall, next best thing to a full-frame camera and big bazooka lens costing thousands more...and a lot easier to carry into the wilderness.",4,Richard W. Baird,CS,lens
31,156,156,B011PKJI2Y?pageNumber=3,"July 8, 2019",PANASONIC-Features-Megapixel-2-3-inch-Dustproof,"PANASONIC LUMIX FZ300 Long Zoom Digital Camera Features 12.1 Megapixel, 1/2.3-inch Sensor, 4K Video, WiFi, Splash & Dustproof Camera Body, Leica DC 24X F2.8 Zoom Lens - DMC-FZ300K - (Black) USA","This is about the only thing I would like changed on this camera.... the ability to recharge with a USB so I could recharge in the USB port in my vehicle.,If you do a lot of photography out in nature where there is a chance of getting rained on, or in snow conditions, this is a very good camera due to the weather-proofing and dust-proofing.,This is a very good ""bridge camera""... more functions then a ""point-and'shoot"", without having to expense up to DSLR with multiple lenses.",3,Subseaworker,CS,lens
32,160,160,B00KW5OKU4?pageNumber=5,"October 1, 2017",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)",The optical lens is much better than I expected.,5,L. Russell,CS,"lens,optical"
33,168,168,B01MS16V42?pageNumber=3,"July 14, 2016",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)","I would however note that when extended all the way out, it is best to retract the lens a tiny bit for a clearer picture.",4,Joan Scharf,CS,lens
34,169,169,B01MS16V42?pageNumber=3,"March 8, 2017",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)","I use this daily for interior home photos, as it has an excellent lens lens allowing for most of the room to be captured and is also great for taking bursts photos AND video.",5,Campside,CS,"lens,burst"
35,170,170,B01MS16V42?pageNumber=3,"August 6, 2015",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)","The 1,200 mm lens means that I can photograph a license plate or suspicious person from more than 250 feet away or more when needed.,The camera comes with a great case, branded carry strap, built in flash, built in microphone, and is tripod mountable.",5,,CS,"lens,flash"
36,173,173,B01D93Z89W,"November 18, 2017",Canon-T6-Digital-Telephoto-Accessory,Canon EOS Rebel T6 Digital SLR Camera with 18-55mm EF-S f/3.5-5.6 is II Lens + 58mm Wide Angle Lens + 2X Telephoto Lens + Flash + 48GB SD Memory Card + UV Filter Kit + Tripod + Full Accessory Bundle,The other 2 lenses are XIT brand and the two of them together can be purchased for less than $20.,3,Caete,CS,lens
37,174,174,B01D93Z89W,"November 18, 2017",Canon-T6-Digital-Telephoto-Accessory,Canon EOS Rebel T6 Digital SLR Camera with 18-55mm EF-S f/3.5-5.6 is II Lens + 58mm Wide Angle Lens + 2X Telephoto Lens + Flash + 48GB SD Memory Card + UV Filter Kit + Tripod + Full Accessory Bundle,"An average point and shoot camera takes higher quality pictures than you will get through these lenses.,If this is your first DSLR, the kit provides a decent value.",3,Caete,CS,lens
38,176,176,B01D93Z89W,"October 3, 2017",Canon-T6-Digital-Telephoto-Accessory,Canon EOS Rebel T6 Digital SLR Camera with 18-55mm EF-S f/3.5-5.6 is II Lens + 58mm Wide Angle Lens + 2X Telephoto Lens + Flash + 48GB SD Memory Card + UV Filter Kit + Tripod + Full Accessory Bundle,"I have since bought a much better lens, and do not use a filter anymore.",2,Stephen DiGiorgio,CS,lens
39,177,177,B01D93Z89W,"October 3, 2017",Canon-T6-Digital-Telephoto-Accessory,Canon EOS Rebel T6 Digital SLR Camera with 18-55mm EF-S f/3.5-5.6 is II Lens + 58mm Wide Angle Lens + 2X Telephoto Lens + Flash + 48GB SD Memory Card + UV Filter Kit + Tripod + Full Accessory Bundle,"I tried it out with my silly little tripod and was pleased with the result.,Cons: My biggest issue with my purchase is it sounded like you are getting two extra lenses with the purchase.",2,Stephen DiGiorgio,CS,lens
40,178,178,B01D93Z89W,"October 3, 2017",Canon-T6-Digital-Telephoto-Accessory,Canon EOS Rebel T6 Digital SLR Camera with 18-55mm EF-S f/3.5-5.6 is II Lens + 58mm Wide Angle Lens + 2X Telephoto Lens + Flash + 48GB SD Memory Card + UV Filter Kit + Tripod + Full Accessory Bundle,The picture you see of the three lenses grouped together: the bigger one is the kit lens and the two extras next to it are them.,2,Stephen DiGiorgio,CS,lens
41,179,179,B01D93Z89W,"October 3, 2017",Canon-T6-Digital-Telephoto-Accessory,Canon EOS Rebel T6 Digital SLR Camera with 18-55mm EF-S f/3.5-5.6 is II Lens + 58mm Wide Angle Lens + 2X Telephoto Lens + Flash + 48GB SD Memory Card + UV Filter Kit + Tripod + Full Accessory Bundle,"I can imagine it would be difficult for a beginner, it was difficult for me.,Conclusion: If I had known better at the time, I would have either spent less money to get a kit without ""lenses"" or spent a little bit more to get real lenses included in the kit.",2,Stephen DiGiorgio,CS,lens
42,183,183,B01D0PKF0Q,"September 30, 2017",Canon-PowerShot-SX420-Complete-Accessory,"Canon PowerShot SX420 IS Digital Camera (Black) with 20MP, 42x Optical Zoom, 720p HD Video & Built-In Wi-Fi + 64GB Card + Reader + Grip + Spare Battery and Charger + Tripod + Complete Accessory Bundle","I don't need extra lenses and having to relearn how to use an SLR Camera again, this camera has all I need and more.",5,Richard S,CS,lens
43,184,184,B01D0PKF0Q,"February 19, 2018",Canon-PowerShot-SX420-Complete-Accessory,"Canon PowerShot SX420 IS Digital Camera (Black) with 20MP, 42x Optical Zoom, 720p HD Video & Built-In Wi-Fi + 64GB Card + Reader + Grip + Spare Battery and Charger + Tripod + Complete Accessory Bundle","Pros- small, flash weight, compact, optical lens is better than most point and shoot cameras,  takes decent pics for a point and shoot camera, loved that it came in a color other than black.",4,Susan,CS,"lens,optical,flash"
44,186,186,B07MN5NHJC?pageNumber=4,"April 1, 2019",Digital-Vlogging-YouTube-Recorder-Batteries,Digital Camera Video Camera Vlogging YouTube Recorder HD1080P 30FPS 24.0MP 3.0 Inch Flip Screen 16X Digital Zoom WiFi Camera with Wide Angle Lens and 2 Batteries,"I can not ask more, this cam has wide angel lens and wifi function, means you can download photo to your phone or PC without hard wire it.",5,Luo,CS,lens
45,192,192,B01MS16V42?pageNumber=4,"March 22, 2014",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)","It doesn't have the fast lens and other features of my FZ200, but noise control is better, IMO, so you can use higher ISOs.",4,A. Scales,CS,lens
46,199,199,B01MS16V42?pageNumber=4,"September 12, 2017",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)","This enabled me to get some spectacular shots sight seeing in Arizona - shots that would have either required 2 hour hikes or just not possible otherwise were easy with 60x optical optical,I'm not a photography expert, and at the moment I don't want to have to learn about / spend the money on a DSLR and all the associated lenses, etc - however I still wanted a camera that had focus features like burst speed, sensitivity, etc so that I could grow into the camera over time,The electronic view finder is surprisingly useful to help get level shots,Tips/advice:,- If you're going to use focus focus, try the same shot with automatic focus as well - I used focus focus for a number of extreme distance shots that looked ok on the LCD LCD but are blurry on larger LCDs, where shots of other scenes I used automatic focus and came out great - this means many of my extreme distance shots at the Grand Canyon North Rim were blurry when they probably would have been fine in automatic focus mode,- If you want to use focus focus times I recommend getting a tripod, since I did not have one the long focus time shots I took were just blurry,- Instead of having to walk further away from / closer to the scene, it is extremely helpful to have the easy to use and plentiful optical control, even for close range shots (few inches to 10ft) - just optical in a bit to crop out what you don't want and put more of an emphasis on the subject in the photo",5,Amazon Customer,CS,"lens,optical,burst,focus,LCD"
47,201,201,B01MS16V42?pageNumber=4,"September 4, 2013",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)",I don't think vignetting will be a problem using 52mm filters as the lens is way smaller than the filter threads on the camera.,5,Rolla Gravett,CS,lens
48,206,206,B01MS16V42?pageNumber=4,"September 4, 2013",PANASONIC-Megapixel-20-1200mm-Stabilization-DC-FZ80K,"PANASONIC LUMIX FZ80 4K Digital Camera, 18.1 Megapixel Video Camera, 60X Zoom DC VARIO 20-1200mm Lens, F2.8-5.9 Aperture, POWER O.I.S. Stabilization, Touch Enabled 3-Inch LCD, Wi-Fi, DC-FZ80K (Black)","I may change them as time goes on, but I find it really great to be able to get Bracketing with the push of a button.,I don't care much for the lens cap, and ordered a better 55mm one on Amazon.,I use filters as it seems more often than not, I end up with my fingerprints on the lens filter.",5,Rolla Gravett,CS,lens
49,207,207,B00KW5OKU4?pageNumber=6,"November 7, 2017",Panasonic-Vario-ELMAR-F3-3-6-4-Megapixels-Sensitivity,"Panasonic Lumix 4K Digital Camera with 30X LEICA DC Vario-ELMAR Lens F3.3-6.4, 18 Megapixels, and High Sensitivity Sensor - Point and Shoot Camera - DMC-ZS60K (BLACK)","For most beginners Panasonic is great but for low flash demanding, or detail showing photos, you will need something with F/2.8 or better.,Cons: F stop could have been 2.8 or better,Pros: Small, flashweight, quick, good quality video and photos (even on print), flipping LCD for videographers, good battery (you still need two if you are taking it to field trip) very good construction, Leica lens is a plus, Sony image sensor is a plus, very vivid compression/jpg processing.,Ask me ANY questions before you buy a camera (Point and shoot or DSLR) and I will respond.",4,One Stop Shop,CS,"lens,battery,LCD,compression,flash"
50,209,209,B00I8BIBCW,"August 28, 2014",Sony-DSCW800-Digital-Camera-Black,Sony DSCW800/B 20.1 MP Digital Camera (Black),The best lenses even come with no optical at all.,5,Muttley,CS,"lens,optical"
51,215,215,B01MRCWQRM,"July 8, 2018",Nikon-26518-COOLPIX-A10,Nikon COOLPIX A10,"If your goal is to get the best quality you can get, and this camera does not make you happy, I do not think that the L32 would make you much happier so you will have to move to professional cameras that have detachable lenses and you are looking at many times the price.,There is something that you will not like about this camera and the only reason I gave it 4 stars.",4,John V.,CS,lens
52,216,216,B01MRCWQRM,"July 8, 2018",Nikon-26518-COOLPIX-A10,Nikon COOLPIX A10,"When we consider buying a camera, we do it because we want something better than what we already have in our pocket and that usually means that we are looking for optical optical and quality lenses with quality video capabilities.,If you are still interested in this camera, here are some things that you may want to know:,1) It has an easy to view 2.7"" LCD.,2) Operation is very simple and the menus are easy to figure out without having to read a focus.,3) It uses 2 AA battery that you can buy everywhere.",4,John V.,CS,"lens,optical,battery,focus,LCD"
