,level_0,index,FeatureName,title,Sentence,CS_SS,p/n,Ref
10,10,30,compression,canon powershot g1 x ,"however, i need to use jpeg more for a more complete opinion concerning this overall issue.9) more or less has the chock full of external controls and buttons that the g12 had.10) pop up flash seems to have almost eliminated the red eye that i got with the poorly placed flash on the g12.",CS,N,canon g12 10 
11,11,38,compression,canon powershot s100 ,"it's just that my camera seems to work fine in that regard.that said... at lower isos, i really don't see a monumental difference in raw or jpeg between it and the s95.",CS,P,canon powershot s95 
12,12,44,compression,canon rebel t5i ,"low-light performance improves with the full-frame 6d and above.model evolution:==== t1i:15 mp9-point af w/ 1 cross-point3.4 fps11 raw burst1080p/20, 720p/301/4000 max shutter==== t2i:+ 18 mp+ 3.7 fps+ 1080p/30, 720p/60+ movie crop zoom, 7x vga+ lcd sharper+ metering improved+ auto-iso improved-- 6 raw burst==== t3i:+ lcd articulates+ movie crop zoom, 3x 1080p+ jpeg adjustments & scene modes==== t4i:+ 9-point af w/ 9 cross-points+ hybrid af for video+ 5 fps+ touchscreen+ stereo mic+ multi-shot noise reduction+ automated 3-shot hdr-- no movie crop zoom==== t5i:+ 360-degree mode dial+ jpeg effects in live view+ 18-55 kit zoom w/ stm focus==== 60d:+ 5.3 fps+ 16 raw burst+ thumb-dial+ af-on button+ top-panel lcd+ mode dial lock+ viewfinder bigger, brighter+ 1/8000 max shutter+ battery life doubled-- no touchscreen-- no hybrid af for video-- no multi-shot noise reduction-- no automated hdr-- mono mic-- non-stm 18-135 kit lenshandling:all rebels have three handling characteristics: small grips (for a dslr), an emphasis on buttons over dials, and many functions intended to be used with the camera away from your face.those with petite hands may appreciate the small size.",CS,P,canon eos 6d
13,13,46,compression,casio ex-fh100,"but if you can be happy with a large jpeg and the flexibility to shoot in all modes...aperture, shutter, manual... you'll like this cost effective black box.that is all saying nothing about it's ability to shoot slow motion video which i hope to montage with the hd video i can get with my canon 5dm2.i suspect the disappointed people in previous reviews did not know how to actually work the camera.",CS,P,canon eos 5d 
14,14,47,compression,fujifilm finepix hs20,"i really did not like the build quality (at least of my copy), found the raw vs jpeg processing too slow (and in comparison to the xz-1, much too slow), and the images i got from that camera (at least for me) do not compare to the xz-1.",CS,N,olympus xz-1 
15,15,48,compression,fujifilm finepix hs30,"i will state the pros and cons of this camera over my previous hs10 and sx40 cameras.pros- better iq, dynamic range.- smoother manual zoom and manual focus ring.- improved placement of built-in flash- much faster af.- much faster sts times, write times(especially on raw+jpeg), shorter lag.- much better evf and lcd.- real-time intelligent zoom is now available unlike before where it shows useless box in hs10.",CS,P,fujifilm finepix hs10 
16,16,50,compression,fujifilm finepix hs50,"this allows for faster shutter speeds and better iq when shooting at the longer end of the zoom range.- there are tons of ""pro"" features on this bridge camera - aperture priority, shutter priority, full manual, manual zoom (which i personally prefer to a motorized zoom), one shot or continuous autofocus, manual focus, selectable iso, raw format and/or jpeg, etc.- fuji's ""exo"" mode is capable of salvaging decent shots out of horrid conditions (bad lighting, etc).my main concern is about the sensor and resulting picture quality - with a sensor 1/10 the area of the one in the canon 7d you are going to see a bit lower iq when you closely look at the images, esp.",CS,P,canon eos 7d 
17,17,53,compression,fujifilm finepix s1 ,"however, looking at the images people have produced with the canon sx50 and panasonic fz70 on user-forums like dpreview, it makes me wonder whether some of the s1's competition could be doing a better job with their small-sensor jpeg image processing, and that's worth thinking about.",CS,P,canon powershot sx50 
18,18,54,compression,fujifilm finepix sl1000 ,fujifilm offers 100x intelligent digital zoom that brightens some of the darkest areas so my indoor shots are suitable for the high-quality images i need for my web page.the finepix sl1000 comes equipped with a high-resolution electronic view finder that makes it easier to frame subjects (something i did not have with the canon powershot).i shoot mostly in jpeg (standard and fine) format but appreciate the ability to shoot in raw.,CS,P,canon eos rebel sl1 
19,19,55,compression,fujifilm finepix sl1000 ,"there is some argument about how film iso translates to digital iso, but for comparison purposes across the same brand the sl1000 is much better here.jpeg  (stills) and avi (movies) are the only file outputs on the s4500 while the sl1000 can do jpeg, raw (raf format) and even mpo (which is 3d) as well,  the movie output is in mov form not avi.the s4500 actually has more shooting modes (zoom bracketing, natural light, natural light & with flash, portrait, baby, smile, landscape, sport, night, night (tripod), fireworks, sunset, snow, beach, party, flower, text) than the sl100 which has (portrait, landscape, sport, night, night (tripod), fireworks, sunset, snow, beach, party, flower, text).",CS,P,canon eos rebel sl1 
20,20,56,compression,fujifilm finepix t300 ,"my wife carries around a panasonic lumix--leica lens--from three years back, and the lumix still makes better pictures than this camera, but is also twice the size and was twice the price; and this camera shoots more than decent video.strengths:video has few compression errors, unlike many other cameras, and you can do an optical zoom/autofocus while recording.built in lens cover.indoor light balance can be superb with or without flash, or it can be drab, i wish i could figure out how to get consistent results.the unit is very compact, a fact made more remarkable by the telescoping 10x zoom.the macro mode--see my submitted photo of ants on fruit loops--is very good for getting detail out of extreme closeups.weaknesses:the dynamic range of most photos is lower than i'd like giving pictures with a lot of black levels a bit of a smudged look.",CS,P,panasonic lumix 
21,21,61,compression,fujifilm x100 ,"not sure how this affects the jpeg conversion since my favorite raw program (dxo) doesn't yet support the fuji x100.the menus aren't any better or worse than the menus from panasonic, canon, or nikon.",CS,P,fujifilm x10 
22,22,62,compression,fujifilm x100 ,"the out of camera jpeg images are absolutely stunning, even at 3200 iso, and are better in their color and tonality than my best lightroom-tweaked images from the d90.",CS,P,nikon d90 
23,23,63,compression,fujifilm x100s,i prefer the x100s over the 7d for:image quality (the reviews are correct; sooc jpegs are fantastic.,CS,P,fujifilm x10 
24,24,64,compression,fujifilm x100s,"first go to sigma dp2 merrill and dp3 merrill reviews (i just posted one)i initially had the x100 and now x100sthis is a brillant camera, fast af, lovely jpeg pictures (don't have to spend any time on the computer they are so good), what i do is to take the jpeg pictures but for the ones which i think i will print big (20 x30 or bigger), will take them in raw also and convert it in-camera.i have gotten rid of all my dslr's (canon, nikon etc) and only use this and it stays with me where i go, it is small enough to go in my pocket and with great battery life (unlike the sigma)just get it.",CS,P,fujifilm x10 
25,25,65,compression,fujifilm x100s,"i feel that with good light this camera produce great videos, it is possible to have great bokeh effect too!digital zoom 90mm is not aviailable in new x100s, in x100 it gives amazing result!pros:1, great f2 lens, very sharp.2, image quality is outstanding and stunning!3, jpeg files are very beautiful.4, sexy & light weight5, new artistic filters are fun to use.6, appearance, a big plus.7, very silent.cons:1, poor video features.2, slightly expensive.3, battery cover accidentally opens and that too frequently.4, focus selection switch is not user friendly, should be changed.my feature wish list for next upcoming camera for this x100 series is:1, panasonic gh3 like video solution with dedicated video features.2, hdr feature.3, full frame.4, tilt screen.5, water & dust proof.6, shutter release cable.7, direct nd filter access.as mentioned before, the launch of x100s does not make x100 a bad camera, x100 is still great camera with the exception of speed.i also noticed x100s produces darker image than x100.nd filter/ flash combo is great to use!x100s has moir&eacute; patterns but a little lesser than x100 though.nd filter should be accessible by single button and there should be separate button for it.conclusion:x100s is the day camera and you can learn so much with it, and it will not disappoint you in terms of performance specially its image quality.",CS,P,fujifilm x10 
26,26,66,compression,fujifilm x100s,"print a few jpegs, and you will see what i mean.by all means, if you are looking to simplify things and willing to trust the awesomeness of the x100s film jpegs, take the plunge and don't look back.",CS,P,fujifilm x10 
27,27,67,compression,fujifilm x100s,"when the aperture is wide-open at 2.0 and you're doing a close-up, the camera might take a second or two to focus; but in most situations it works almost instantaneously.recommended accessories: *stk's fuji np-95 battery*manfrotto mb scp-7bb nano vii camera pouch*gariz genuine leather xa-cfx100bk camera cap fixs for fuji fujifilm x100 x100s*apple wall plug duck head for apple macbook (to replace the bulky cord on the charger)*transcend 16gb class 10 sdhc flash memory card (good for about 400 shots of ""raw + fine .jpg"", or 2452 fine jpegs)*fujifilm ef-20 shoe mount flash (when the built-in flash isn't strong enough)*domke f-6 little bit smaller bag*lensmate concave brass soft release button*domke 1-inch camera strap (web) 740-1bk*sea to summit nylon stuff sack (xxs, 1 liter) [protects against dust and moisture]*book: fujifilm x100s: from snapshots to great shots (not released yet)",CS,P,fujifilm x10 
28,28,68,compression,fujifilm x20 ,")* very good focus accuracy - maybe only 5% of my shots had missed focus* incredibly sharp lens at all focal lengths and apertures (sharper than my nikon 16-85mm, and panasonic 14-45mm lenses), with no de-centering* excellent iso 100 jpeg's with very good detail (note: i did not test raw images)* menu system is easy to navigate* q button is very handy* viewfinder now fits tightly with the body (it was slightly loose on many x10's), and is definitely usablecons* camera is just a bit too small for my medium-sized hands, making the handling just a bit uncomfortable* both dials are fiddly to use, and operate slowly/not at a 1:1 ratio when changing values (for example, when in av mode and you want to change the aperture quickly, you can turn the dial 3 clicks quickly, but it might only register 1 click;  if you wanted to go from f2.0 to f/8.0, you have to sit there and just keep turning the dial... waiting to finally get there - it's the only thing that i found where the operation is annoyingly slow)* battery/memory card hatch quality does not quite match the rest of the camera*  lcd screen is small, and slightly laggy in darker conditions (the lcd screen is one area where this camera significantly lags behind the competition)* the exposure compensation dial is too stiff, and difficult to turn (but i definitely prefer this over the dial being too loose)* movies came out too dark (but i admit that i didn't spend a lot of time dialing this in)* continuous focus didn't work at all (it may have been broken on my sample???",CS,N,fujifilm x10 
29,29,72,compression,fujifilm x20 ,"i only shot jpeg's, since that is what i planned to use the camera for.pros* the camera exudes style and quality* solid, extremely well-built body, with a good feel to most buttons* lens zooming is very smooth, with very little wobble at full extension (also, the sticky point midway between off and 28mm appears to be gone - this was present on the x10 that i had)* very fast operation (focusing, shutter release, flash pictures, flash recycle, etc.",CS,P,fujifilm x10 
30,30,73,compression,fujifilm x-a1 ,"currently have canon, nikon, olympus, sony a7, and fuji systems.fuji's jpeg engine and white balance performance is the best in the industry and this camera has the same engine like all other fuji cameras.",CS,P,sony a7
31,31,74,compression,fujifilm x-e1 ,"jpeg's are the way these lenses are designed to be used, so that's how they should be evaluated, as part of the whole camera.results at iso 3200:- nikon d600 (full frame) gave the nicest image, as we should certainly expect for the sensor size, camera size and weight, and cost.",CS,P,nikon d60 
32,32,80,compression,fujifilm xf1 ,"this camera seems to have been missed by most reviews.after using the rx100, lx7, s95/100 and other high grad compacts i just can't put this thing down.the size with collapsed lens is slightly larger then the s95 but fits well in any pocket.the manual control of the on/off and the zoom opens so much opportunities for creativity you can't get with motorized zoom and fast to operate.jpeg engine does a super job and the pictures are beautiful in wide and in tele alike.great for travel portraits and landscape.on par with the pana lx7 iq or better without the bulk.better iq then the 1&#34; sony sensor or the nikon 1 line of products and its is such a cool looking camera, to add a cherry to the mix.highly recommended to anyone who already have the dslr or m4/3 (or any ilc) covered and wants something light to carry around.",CS,P,canon powershot s95 
33,33,81,compression,fujifilm xf1 ,"set it to exr mode, 1600% d-range, and boom - out pops a jpeg with more dynamic range than i could muster out of a raw file of my nikon d40 dslr.",CS,P,nikon d4 
34,34,83,compression,fujifilm x-pro 1,")my first memories of photography were my parents using their polaroid land camera and doing the proverbial wait 60-seconds and peel version of instant in the 60's and 70's.for those of you that know these cameras, the sound those bulbs used to make when they went off is as clear to me today as are the smells from the newly peeled photographs.fast forward to today and it feels like we are in a new golden age of photography.everyone is a photographer as everyone uses their phone to instantly upload and share whatever is happening in their lives at any moment.with facebook paying 1 billion for instagram, kodak is less valuable in comparison which, for me, feels sad.my struggle with what to use for myself ultimately lead me to a d700.the d700 is truly amazing and a privilege to own.i have the 50mm 1.4 and the 28-300mm which amazes me with the pictures it produces across such a large range.my challenge with my kit is simply size and weight.for me the ratio of usage is the inverse to size and weight.the bigger it gets the less it comes out to play.while many might bemoan the iphone as a 'real' camera, the reality is it's probably the most used and popular camera today.this issue of size and weight has pulled me, like an orbit of a remote planet, to circle leica dealers in search of any justification for paying more than my first car for a camera that does less than my d700.i love leica, their history and craftsmanship but there is no way i could get budget committee approval-known as my better half-for an m9 and summicron lens.so with an awesome d700 that comes out for big events-vaca, family get togethers, holidays, etc.-what to use that fits in my briefcase and travels easily so it gets used in lots of spontaneous moments?my hope was the fuji x-pro1 would be my 'poor man's leica m9' to go everywhere.having used the x-pro1 for the past few days with the 35 and 18mm lenses, i am, much like my feelings for my first girlfriend, both excited and exasperated at the same time.this is probably being too candid but the d700 masked my faults with sheer engineering prowess to make beautiful photos in my amateur hands.the x-pro1 simply does not suffer fools: me in particular.the form factor is perfect.the quality resonates in the hand.the 35mm 1.4 is a bargain if you know the prices of the cheapest used leica lenses.nothing works like i'm used to and everything is new again.my initial jpeg's have awesome color but half are not in focus or the focal point was not where i wanted it.yes the blades chatter like the leica x1 which i briefly owned and then sent to ebay heaven.the evf/ovf is not intuitive but i love the idea, effort and engineering behind it.no it's not a real rangefinder which could be good or bad depending on your point of view.yes there are better cameras for less money.yes i could buy and download a song off itunes before the af focused in low light.no i am not sending it back for the following:i've taken it everywhere.",CS,P,leica x1 
35,35,84,compression,fujifilm x-pro 1,"there are still some quirks but fujifilm has shown themselves to being able to listen to customers and release the appropriate firmwares.5 out of 5 stars for image quality and handling.4 out of 5 stars for everything else.+ excellent build quality+ nice weight for body (450g) and lens+ discreet just-a-piece-of-black design+ lens have aperture rings+ rubber hand grip works well enough+ exposure dial is tighter, less prone to accidental hits+ buttons have nice tactile feel+ hybrid viewfinder (ovf and evf) works nicely+ sharp 3-inch lcd+ shutter dial has a lock at a+ shutter sound is soft, blends with ambient noise+ impeccable image quality+ legendary high iso performance+ amazing quality jpeg at default setting+ auto white balance is almost always correct+ af speed is satisfactory+ able to focus in extreme low light, although it takes more time+ af accuracy seems slightly improved over x100.+ manual focus is responsive+ start up is fast+ menus have tabs that show everything in plain sight+ writes as fast as your sd card can write+ average to good battery life.",CS,P,fujifilm x10 
36,36,87,compression,kodak easyshare m340,"now, four months later, the lens again zooms out instantly retracts and shuts down.i did all of the troubleshooting recommended, like compressed air cleaning and various resets, but no good.so i may send it back to united camera ($64 for standard lens repair) and hope that it lasts this time as a backup.i have ordered her a panasonic dmc-zr3 replacement.",CS,P,panasonic lumix dmc-zr3
37,37,92,compression,leica 10803 s,"(still i want to see usb 3 in the next model,and maybe cmos too with live view)the sensor is a kodak ccd which measure's 45mm x30mm,a similar size to a h5d 40,not as large as the h4d-60/iq260 sensor's which measure 40.4x54.7 but still considerably larger than 35mm f.f (36mm x 24mm),it's the same size as the s2 sensor but with a lower base iso (100 vs 160).at iso100 the file's are beautiful with gorgeous tonality and great colour(makes stunning b&w; conversions too),there are 12 stops of d.r and lots of room for manipulation in lightroom (lightroom is the best raw converter for the s,capture one pro is quite good,extracting more detail but i feel color is better in lightroom,make sure to use the embedded profile),higher iso's don't work well,this is a camera which is best used at base iso,i wouldn't go past 400 myself..another point is that the sensor is full 16bit like the phase and hasselblad,not 14bit like the canon and nikon's,some people say this is irrelevant but to my eyes 16bit files have better color graduation,although you will find it hard to see a difference looking at online jpegs,you need access to the raw's to make an accurate assessment,the native file format is a dng which is useful and allows you to use custom dng profile's generated with color checker passport  in lightroom.x-rite msccpp colorchecker passportanother point i would like to highlight is the aspect ratio is classic leica ratio of 3:2,phase and hasselblad aspect ratio's are 4;3,people will have their own preferences here,i like both.a useful feature of the s which is also an advantage over hasselblad and phase is the dual memory cards (one is c.f and the other s.d) which can be set to sequential or parallel storage,parallel is very useful for backup in the field.the real reason to buy into this system is the glass,the lenses are amazing,sharp as razors but with very little distortion,almost no aberration's,beautiful bokeh,lovely contrast and colour and excellent wide open performance,the resolution of the lenses is very high with loads of micro contrast,they are the best lenses made today and are limited by diffraction only,(rodenstock hr are awesome but very different)if you shoot with strobes a lot then buy the c.s version's.the s lenses also have great manual focus ability for those who like to manual focus,which is better for landscape etc,if you do like to use manual consider the split prism focus screenleica s-camera microprism screen 16001,it makes a difference....another benefit of the s is the ability  to use glass from other system's via adaptor's,if you own mamiya,hasselblad h or v,pentax or contax lenses you can use them on this camera with full a.f and aperture controlleica 16030 s-adapter interchangeable lensandleica s-adapter for contax (16038)leica m645 s-adapter for mamiya 645-system lensesandleica 16026 p67 s-adapter for pentax 67 lensesthis versatility is a great bonus.if you buy one of these and know how to use it you won't be disappointed ,sure it's expensive but still half the price of an iq180 or h5d-60,and you will get access to lenses that are simply outstanding ,and a medium format body that feels like a canon 5d in your hands",CS,P,canon eos 5d 
38,38,93,compression,leica d-lux5 ,i looked at the nikon p7000...mixed but generally lower reviews within this group (i have owned a number of/and greatly respect nikons); panasonic lx5...which many say to be the same as the leica (with the exception of jpeg processing); canon g-12...which seemed ok with the exception of handling raw production and the canon s95...not as good in the lens department and photo processing.,CS,P,nikon coolpix p7000 
39,39,97,compression,nikon coolpix p340 ,"the sharpness, clarity, colors and the exposure of its photos(jpeg- i rarely shoot raw) is superior to the canon s120.",CS,P,canon powershot s120
40,40,99,compression,nikon coolpix p7000 ,"if it is important to you that you can take and save both jpeg and raw quickly, the g12 is said to be a lot faster.",CS,P,canon g12 10 
41,41,102,compression,nikon coolpix p7700 ,"the only judgment needed in most cases will be mode setting and  whether to put on a hood.to show where i'm coming from and the type photos i take, i would say i shoot sports only for fun, mostly at amateur levels, and i am my family's recorder, also a retiree and traveler with considerable photographic experience from 1970's kodak vs fuji film in a pentax spotmatic thru digitals beginning with a fuji f30 in 2006....other cameras i own:a./ sony nex-5n with 1650pz lens for very clean hi-iso and very good video.b./ sony wx300 mostly just for its zoom in a tiny size, great jpeg color, and the fact that it connects easily to my samsung tablet for sharing ""moments"" with others around me at a more viewable size.",CS,P,sony nex-5n
42,42,106,compression,nikon coolpix p7800 ,"and as an eye glass wearer, i really like the diopter adjustment.i use the sandisk extreme 16 gb sdhc class 10 uhs-1 flash memory card 45mb/s, the same as i use in my nikon d7000, and i have no complaints with the camera's shooting speed, whether jpeg or raw (nrw).i do recommend a spare battery, i'm not sure if i fully trust the battery minder, sometimes it seems to jump rather quickly from maybe 75% charge to less than 25%.",CS,P,nikon d7000 
43,43,110,compression,nikon d3100 ,"while the d3200 has about 4 more mb of pixels, the format of this is large enough where i generally reduce the image size to the standard formats and i can go as high as 500pixels per inch in jpeg formats so the image quality is not a factor.",CS,P,nikon d3200
44,44,112,compression,nikon d4s,"improved video recording capabilitieson the d800, the compressed nef raw picture files are generally around 45 mb each and when shooting in the high speed continuous mode, it takes 20 nef raw compressed 14 bit pictures in about 5 seconds before it starts to significantly slow down while the buffer writes the pictures to the memory card.",CS,N,nikon d80
45,45,113,compression,nikon d4s,"the native iso goes to 6400 and this camera has a built-in flash and an autofocus assist lamp which can help in dark conditions.when the d4s is paired with the sony s series xqd 64gb memory card (up to 180 mb/s read/write speed), i was able to fire off 80 nef raw compressed 14 bit pictures (about 20 mb file size each) in less than 8 seconds in the high speed mode before it starts to moderately slow down.",CS,N,nikon d4 
46,46,114,compression,nikon d5100,"the d7000 accepts 2 sd cards, where the second card can be used in a variety of ways: overflow when the first card fills up, jpeg on one / raw on the other, or mirrored backup of the first card.",CS,P,nikon d7000 
47,47,116,compression,nikon d5200,"?that is sooo important,,you can now record to a field recorder like the atamos ninja at raw video out with hdmi clean video output..that was the only reason i got this camera,,and on ebay it was 600 dollars,,that is a scandle that this is being sold so cheap,,the video on this is professional quality as good as the 5dmark2 or 3 and higher quality camcorders,,this video is that good,,the color is amazing and the sensor out put to recorder you can edit uncompressed video.just an amazing camera.why are people not buying this camera?",CS,P,canon eos 5d 
48,48,119,compression,nikon d5300 ,"in jpeg mode they were equal, at least to most viewers, to the ones taken with the d800 - yes, they are that good.",CS,P,nikon d80
49,49,121,compression,nikon d600,"even so, my clients still love the output after jpeg post processing and i haven't missed raw too much and processing jpegs is just as fast and the results are still plenty sharp.5) iso 6400 is still pretty amazing- pretty much like iso 1600 for the d300.6) dx crop factor- whereas i could take decent shots of the moon on my 18-200mm dx lens on my d300, the 10mp dx mode on d600 when using the 18-200mm lens is not that great.",CS,P,nikon d60 
50,50,122,compression,nikon d600,"the d600 does have 24 mp, this i'm sure this is part of it (smaller pixel pitch), but on jpeg w/nr on (""best"" iso performance), i can't bring myself to shoot at iso 6400--on my 6d, i can and do shoot at iso 12,800 under the same conditions without batting an eyebrow.",CS,P,canon eos 6d
51,51,124,compression,nikon d7000 ,"almost bought a canon 60d last year but i hesitated, which was good because i ended up with usually a more expensive nikon d7000 as compared to normally ~ $200 cheaper canon.i've setup the d7000 with a 32 gb sd card in slot 1 and a 16gb sd card in slot 2 and setup the camera to take nef(raw) into slot 1 and jpeg fine in slot 2 simultaneouly.",CS,P,canon eos 60d 
52,52,126,compression,nikon d7000 ,"you can change almost all settings without accessing the menu or wasting your time trying to find items in the extensive nikon menu system4- it has two dials front and back , which allows you to control things much faster and easier.5- the top lcd ... its a really big plus, makes you know exactly what you want when you want it6- view finder, really much better than d5200 and d53007- the battery lasts for ever, i shot 700 jpeg images and it still had 71% of its charge, with raw, it lasts for almost 800 shots.8- it has two storage slots, and that's really a great plus, this helps with storing jpeg in one and raw in the other or keeping a backupand much morecons: .... its a dx camera ... its not full frame, but its really close to the full frame qualitynotes:1- it comes with a screen protector2- it doesn't come with memory card so you will need to buy one separately, so you can start shooting once you receive the camera3- make sure that any case you will buy will be big enough for itbottom line, this is a serious camera, if you are buying it to shoot your dog, you probably would better get the d3200 or d 5200but if you are planning to advance in photography, i really recommend this camera, its really a great choice, i have it for three month now, and i already bought a couple more lenses and some filters and accessories and i'm loving what i get from it",CS,P,nikon d5300 
53,53,127,compression,nikon d7100 ,"furthermore, jpeg images more grainy than d7000.",CS,N,nikon d7000 
54,54,129,compression,nikon d7100 ,jpeg images were recorded at 6000x4000 @8-bit (large)i used latest nikon capture nx2 version 2.4.1 and nikon view nx2 version 2.0.2raw images from nikon d7000 were reported correctly using these same nikon capture/view nx2 software.,CS,P,nikon d7000 
55,55,130,compression,nikon d800,"3rd party will make a fortune building a grip that is even better for less money.after many weeks and more time with both cameras:1) the canon 5diii is the better cam for jpeg shooting, but by a small margin.2) the nikon d800 is better at raw and by a larger margin.both are great cams and you can't go wrong, but nikon's d800 is the dslr to beat this year.",CS,P,canon eos 5d 
56,56,131,compression,nikon d800,"but that eliminated my initial plan of using the two cards as redundant raw storage, so on this trip i will more or less 'waste' precious card space just to save jpegs so i can start to sort through my images.the software that is provided with the d800 - view nx2, should help me convert raw into a format that lr3.6 can work with (i think, but haven't figured that out yet), but there is yet another step in post.other thing you will have to abandon/replace is your wireless remote control ml-l3 (it won't work either), and the recommended remote control for the d800 is corded, which i hate.",CS,P,nikon d80
57,57,132,compression,nikon d800,"here is my backgroundi've owned d700 (several samples), d7000 (several samples), d300 (several samples), d90, d80, d40, d40s, d60 in nikoni've owned 20d, 30d, 40d, 7d, xsi, t1i, t2i in canon.d700 is a brilliant camera, incredible af, incredible low light shots, fast fps with grip (8),  scene recognition in auto mode, built like a tankd800 takes spectacular photographs in either jpeg or raw.",CS,P,nikon d7000 
58,58,133,compression,nikon d800,"the d800 exposures are so perfect that i won't need to do much post processing, so i am considering going back to jpegs for non-critical parts of the wedding, like the bride getting dressed and the reception.",CS,P,nikon d80
