,level_0,index,Unnamed: 0,Unnamed: 0.1,FeatureName,FeatureID,teamID,ReviewID,asin,title,Sentence,CS_SS,p/n
50,80,80,2191,2191,compression,20,11,7409182,B00DMS0GTC,Canon EOS 70D ,There's about a half-stop less noise in JPEG and raw relative to the 18MP bodies and less low-frequency blotchiness at high ISOs.,CS,N
51,81,81,2190,2190,compression,20,11,7409182,B00DMS0GTC,Canon EOS 70D ,"Shooting stills from the rear LCD still favors mirrorless and hybrid bodies, but employing the 70D's viewfinder pulls the advantage back to Canon.I've listed the history of this line so you can get a feel for where it slots.MODEL EVOLUTION:==== 50D /200815MP9-point AF, all cross-points6.3 fps, 16 raw96% viewfinder640 x 480 LCDAF micro-adjustmentAF joystickFlash sync socketCF memory cards==== 60D /2010+ 18MP+ 1080p/720p/480p movies+ Mono mic+ 720 x 480 LCD+ LCD articulates+ Metering improved+ White balance improved+ Wireless flash control+ HDR / MSNR / exposure merge+ Raw conversion and filters on-camera+ Movie crop zoom (7X, 480p)+/- SD cards+/- simplified button layout-- 5.3 fps, 16 raw-- no AF joystick-- no AF micro-adjust-- no flash sync socket-- lesser build==== 7D /2009+ 19-point AF, all cross-points+ 8 fps, 25+ raw+ AF joystick+ AF micro-adjust+ Magnesium chassis+ 100 % viewfinder+ Flash sync port+ Weather-sealing(ish)+ Video sound level adjustment+/- CF cards+/- larger-- 640 x 480 LCD-- LCD won't articulate-- Movie crop zoom-- HDR / MSNR / exposure merge==== 70D /2013+ 20 MP, noise improved+ 'Dual Pixel AF' in Live View+ LCD articulates+ LCD touchscreen+ 720 x 480 LCD+ Wifi built-in+ Silent-shooting w/ viewfinder+ Scene Intelligent Auto mode+ Stereo mics+ Video compression improved+ Movie crop zoom (3X, 1080p)+ HDR / MSNR / exposure merge+/- SD cards+/- smaller+ /- weather sealing+/- simplified button layout-- 7 fps, 16-23 raw-- no AF joystick-- no spot-AF or AF-point expansion-- no flash sync port-- lesser buildViewed from another angle, here's where we've seen the major features before:* 20MP sensor* Dual-Pixel AF* 16-shot raw buffer, 60-shot jpeg buffer (60D)* 19-point AF system (7D)* Swivel LCD screen (60D)* Touchscreen LCD (T5i)* Simplified rear control layout (6D)* Wifi (6D)* AF micro-adjustment (7D)* Stereo microphones (T5i)* Silent shooting through the viewfinder (5D III)* Movie crop zoom (T3i)* IPB and ALL-I video compression (5D III)* On-camera raw conversion, movie editing, and effects preview (T5i)* Scene Intelligent Auto mode (T5i)It's like a greatest-hits album; there's almost nothing from the parts bin that hasn't made an appearance.HANDLING AND NEW FEATURES:No surprise: it feels like a 60D.",CS,P
52,89,89,2541,2541,compression,20,1,7409322,B00DMS0GTC,Canon EOS 70D ,"Jpeg buffer is really decent too I counted over 35 shots if not a bit more with no signs of slowing+ Touch screen works well and swivel LCD is handy for stills and video+ Smooth autofocus with the touch screen (touch to target AF) on video this is a big step forward for serious video shooters+ 7fps is really quite fast for action shooting and more than enough for most, not quite 8fps Canon 7d but a good improvement on the 5.3fps of the 60d+ The 70d now has the 7d's 19 point all cross type AF system another nice jump up over the 60d+ AF adjustments!",CS,P
53,91,91,42,42,compression,20,13,2732535,B002NEGTTW,Canon EOS 7D ,Just take a little compressed air and blow all the water off when you're done.,CS,N
54,93,93,655,655,compression,20,12,2732412,B002NEGTTW,Canon EOS 7D ,unless you tell people you shoot jpeg only then they will devote sites to hating you.,CS,N
55,94,94,656,656,compression,20,12,2732412,B002NEGTTW,Canon EOS 7D ,look at ken rockwell he only shoots jpeg and there are a mess load of hate sites out about him shooting jpeg.,CS,N
56,97,97,44,44,compression,20,13,2732564,B002NEGTTW,Canon EOS 7D ,"Honestly, I shoot small or medium JPEG casually as that yields the same if not better results than my former 20D (Which is also a wonderful camera, but going back to it is so hard because I've gotten used to all the benefits and perks of this one).",CS,P
57,99,99,657,657,compression,20,12,2732412,B002NEGTTW,Canon EOS 7D ,all im saying is that the 7d alond with most cameras are so good and so adjustable that you can get great jpegs out of all the new cameras.,CS,P
58,100,100,658,658,compression,20,12,2732412,B002NEGTTW,Canon EOS 7D ,people who say that there raws are better is because they are comparing them to a jped from a camera they dont know how to adjust so of course for them its a fact that raw makes better pictures then jpeg.,CS,P
59,101,101,660,660,compression,20,12,2732466,B002NEGTTW,Canon EOS 7D ,"This to me is probably the most important, even before image quality.- The sensor gives beautiful, vibrant images - the color rendering is very close to what I see with my eyes, which is my criterion.- The sensor also features a native ISO range of up to 6400 and at ISO 3200 the pictures are really good.- Flash control is excellent - I frequently use the remote flash control from the camera with a 580Ex-II and a 430Ex-II together and the possibilities are staggering.- The JPEG you get directly from the camera are gorgeous.",CS,P
60,102,102,661,661,compression,20,12,2732466,B002NEGTTW,Canon EOS 7D ,"I rarely shoot raw due to the size of the resulting files except when doing landscape or portrait, and the dedicated button that switches to raw+JPEG for the next picture is very useful to me.There are many more good things to say about this camera but I would find myself re-writing the manual, which is informative, well written and well-worth reading from cover to cover.All in all a great camera, the best I ever had and one of the easiest to use.",CS,P
61,103,103,635,635,compression,20,12,635472,B0007YEOA6,Canon EOS Digital Rebel 300D,"Enables setting the quality of embedded JPEG- Enables Mirror Lock up- Enables the ability to select the autofocus mode: AI servo, Oneshot etc.- Enables setting ISO 3200With the updated firmware, the camera is completely customizable, and you'll be able to learn all about how to create the best shots2.",CS,P
62,104,104,1769,1769,compression,20,11,6303822,B008NENG1A,Canon EOS M ,BTW I shoot in raw so have not assessed the jpeg quality.The battery usage is high as others have said so I bought a second battery to help with that issue.,CS,N
63,105,105,2407,2407,compression,20,1,6303792,B008NENG1A,Canon EOS M ,The camera also does RAW processing which would matter if you did not want to be limited by JPEG storage only.,CS,N
64,106,106,1321,1321,compression,20,12,6303861,B008NENG1A,Canon EOS M ,It has a 3.5 jack for external microphones.There are several auto scene modes basically available for jpeg only shooting like HDR backlight control that will take a 3 shot bracketed series and blend them in camera into one image.,CS,P
65,108,108,1772,1772,compression,20,11,6303866,B008NENG1A,Canon EOS M ,"Slow enough that for a while, I shot only in JPEG with the NEX.Canon's DPP software is another story-fast smooth and easy to use.",CS,P
66,113,113,2025,2025,compression,20,11,7028082,B00B5FL04E,Canon EOS M ,"With a 16gb sd card it can shoot 480 Raw + Large JPEG pics, but the battery probably won't last that long, more like 160 shots - but I am still playing around with it.Very happy with my first mirror-less camera, I never liked the bulkiness of DSLRs, just too much to carry around.",CS,P
67,114,114,2118,2118,compression,20,11,7181352,B00BW6LXHA,Canon EOS Rebel SL1 ,"It lets you easily adjust Aperture and/or compensation in the Quick menu, surely the two most frequently accessed adjustments.At ISO 3200 noise is hardly a problem for jpeg shooters.",CS,N
68,115,115,2119,2119,compression,20,11,7181387,B00BW6LXHA,Canon EOS Rebel SL1 ,"It's about two solid stops better than a typical point-and-shoot.Unless you're in a JPEG-only shooting mode (e.g., multi-shot NR, HDR), raw gets the most out of this camera.",CS,P
69,117,117,2124,2124,compression,20,11,7181398,B00BW6LXHA,Canon EOS Rebel SL1 ,"The SL1 optical viewfinder, while more compressed than the one in a large high-end DSLR, to my eyes is still far superior to any electronic viewfinder, which is like looking at a fuzzy little television from the 1960's.",CS,P
70,118,118,2125,2125,compression,20,11,7181398,B00BW6LXHA,Canon EOS Rebel SL1 ,This is also why spending hours diddling around with RAW images in Photoshop no longer makes much sense for most of us - the JPEG engine has been programmed to optimize the specific lens - and it will take much time and skill to equal or improve on this on one's own.,CS,P
71,119,119,2127,2127,compression,20,11,7181398,B00BW6LXHA,Canon EOS Rebel SL1 ,Yes I know a knowledgable PhotoShop artist who spends time fiddling with an image may produce a better result than the in-camera JPEG.,CS,P
72,125,125,29,29,compression,20,13,2398458,B001XURPQI,Canon EOS Rebel T1i ,"My other cameras were pretty basic, the old Pentax K-1000, and a Minolta Maxxum 300si, so this Canon is quite an upgrade for me.Pros:Autofocus is pretty fast and accurate.RAW + JpegRecharging batteryImage stabilizationMenu is fairly simpleAbility to setup custom settings for easy accessLots of settings, from basic ""point and shoot"" to more complex creative featuresGood compatibility with Mac'sCons:Like most SLR's, it's big and somewhat heavyShooting in low light is not always easy, if the meter cannot assess the low light situation the shutter will not activateSoftware it comes with is not very good.",CS,P
73,126,126,1449,1449,compression,20,11,2398396,B001XURPQI,Canon EOS Rebel T1i ,"Conclusion - ProsGood resolution and detailed output (but only very marginally better than 450D)Decent (but not 'best in class') high ISO JPEG performanceExtended ISO speed up to 12800 (not great quality but it's there for emergencies)Good quality HD video (but sound output does not match the image quality)Currently the cheapest 1080P video capable DSLR (albeit only at 20fps)Overall snappy and responsive performanceVery clear, high resolution 3.0 inch screen with anti-reflection coating (but still hardly usable in sunny conditions)Brightest and largest viewfinder in classGood number of external controls provide quick access to all important shooting parameters and the interactive quick control panel is a good alternative for those who prefer the compact camera style of controlsIntuitive menu system and customizable 'My Menu'Good control over High ISO NRFairly efficient Highlight Tone Priority features preserves some additional highlight detailReliable flash exposurePeripheral illumination correctionOptional battery gripHDMI outputComprehensive software package includedGood battery lifeConclusion - ConsVisibly more noise in RAW files than some of the competitionSlightly less highlight range in JPGs than the competitionRelatively limited RAW headroom, channel clipping means color accuracy can often not be maintained when recovering clipped areas in RAW conversionMetering has occasional tendencies to overexpose in very bright, contrasty conditionsUnreliable auto white balance and presets under artificial lightStill slightly plasticy appearance and surfacesGrip is a little small for larger handsFlash has to be raised for AF assist (although AF is good even in low light)Limited exposure compensation range (+/- 2.0 EV)Contrast detect AF so slow it's useless for most types of photography (it's the same for most of the competition though)Slightly more expensive than the competitionOverall conclusionThe EOS 500D is the latest incarnation of a highly successful line of cameras and although the 'entry level' market segment is these days much more crowded than it used to be, we would be very surprised if the new model would not sell like hotcakes.All the major manufacturers cram more and more new features into their 'budget' offerings but the EOS 500D is arguably the currently best specced camera in the segment, which lifts it some distance above pure 'entry level' territory.",CS,P
74,128,128,1453,1453,compression,20,11,2398396,B001XURPQI,Canon EOS Rebel T1i ,And although the JPEG dynamic range in the highlights is slightly smaller than on the predecessor there's enough headroom in raw files to pull back highlight detail in most of those shots.,CS,P
75,131,131,69,69,compression,20,13,3067124,B0035FZJHQ,Canon EOS Rebel T2i ,"I was very impressed with this camera and would recommend it for family photo takers with some photography experience, high school or college students interested in photography, or just as a step up from the cheapest/simplest point and shoot cameras.Pros:-Easy to use controls and functions-Great auto settings for those who like it simple, and great manual settings for people looking to experiment-Great built in flash-LCD is large and bright-Very small form factor for what it offers-Feels and looks a lot more professional, but not a D7 feel-I love that the camera senses when your eye is at the viewfinder and automatically shuts of the LCD-Can take pictures using the LCD-Pretty good continuous fast photos for most-Option to save in RAW or JPEG (OR BOTH AT THE SAME TIME!",CS,P
76,132,132,73,73,compression,20,13,3067403,B0035FZJHQ,Canon EOS Rebel T2i ,"Do proper study if you're a pure jpeg user.GF1 Experience:Definitely the best Camera I ever come across.The picture is almost 99% sharp and clear.I like the jpeg color although people have said it is less saturated.Meanwhile, I'm keeping an eye out for GF1 or GF2.I'm amazed so many people have 5 star experience with this product.In no way I'm attacking Canon.",CS,P
77,134,134,2343,2343,compression,20,1,3067328,B0035FZJHQ,Canon EOS Rebel T2i ,It will give you both RAW and JPEG pictures so you can take advantage of RAW post processing.,CS,P
78,135,135,2365,2365,compression,20,1,5077271,B005LW580O,Canon EOS Rebel T3 ,"If you shoot in jpeg you can shoot continuous all day long without delay so long as you have the proper sd card.Lastly there is no auto sensor clean, just a manual function that flips the mirror up so you can blow the dust away, or clean it physically.These really have not been issues for me and for $279.00, I am not complaining, just pointing it out to help you make an informed decision.If you are looking for a new hobby, want to learn your way around a dslr, or expand your subject capabilities without breaking the bank, this is the camera for you.",CS,N
79,141,141,1520,1520,compression,20,11,4191266,B004J3Y9U6,Canon EOS Rebel T3 ,on continuous shooting there is not much lag with the 45mb/s memory card and on jpeg mode large file size there is none i shot at 1/4000 and had 300 images with no lag on jpeg format will provide further updates with more usage but i can not see this being poor in quality even for a minor amateur.,CS,N
80,142,142,820,820,compression,20,12,4191538,B004J3Y9U6,Canon EOS Rebel T3 ,The burst shooting is pretty good when shooting in JPEG (~3 fps) but slows down noticeably in RAW and fills the buffer after just a few shots.,CS,P
81,144,144,1521,1521,compression,20,11,4191506,B004J3Y9U6,Canon EOS Rebel T3 ,"Good Image quality even in Jpeg format but requires some post processing in photo editing software.Overall offers the best value for money for those looking for a starting SLR on a modest price, the DPP(Digital Photo Professional) software is very good for entry level users which is included free with the camera.",CS,P
82,146,146,1514,1514,compression,20,11,4189434,B004J3V90Y,Canon EOS Rebel T3i ,"However, I discovered that my real problem was that JPEG gives you only one exposure for the whole frame unless you shoot multiple-exposure HDR.",CS,N
